VIAL,TREATMENT,POPULATION,K1,K2,K3,K4,K5,K6,K7,GROUP,CONTINENT
105,T,EU2,0,0,0,0,0,0,0,1,EUROPE
106,T,EU1,0,0,0,0,0,0,0,1,EUROPE
107,T,AM1,0,0,0,1,0,0,0,1,AMERICA
108,T,AF2,0,0,1,0,0,0,0,1,AFRICA
109,T,AS1,0,0,0,0,1,0,0,1,ASIA
110,C,EU1,0,0,0,0,0,0,0,1,EUROPE
111,T,EU1,0,0,0,0,0,0,0,1,EUROPE
112,T,AS1,0,0,0,1,0,0,0,1,ASIA
113,C,EU2,0,0,0,0,0,0,0,1,EUROPE
114,T,AS2,0,0,0,0,1,0,0,1,ASIA
115,C,AF1,0,0,0,0,0,1,0,1,AFRICA
116,T,EU2,0,0,0,0,0,0,0,2,EUROPE
117,T,AF2,0,0,0,0,0,0,0,1,AFRICA
118,T,AM1,0,0,0,0,0,0,0,1,AMERICA
119,C,AM1,0,0,0,0,1,0,0,1,AMERICA
120,T,AS1,0,0,0,0,0,0,0,1,ASIA
121,C,AS2,0,0,0,1,0,0,0,1,ASIA
122,C,EU2,0,0,0,0,1,0,0,1,EUROPE
123,T,EU2,0,0,0,0,1,0,0,1,EUROPE
124,T,EU1,0,0,0,0,1,0,0,1,EUROPE
125,T,AM1,0,0,0,0,0,0,0,1,AMERICA
126,T,AM1,0,0,0,0,0,0,0,1,AMERICA
127,C,AM2,0,0,0,0,0,0,1,1,AMERICA
128,T,AS1,0,0,0,1,0,0,0,1,ASIA
129,T,EU2,0,0,0,0,0,0,0,1,EUROPE
130,T,AF1,0,0,0,0,0,0,0,1,AFRICA
131,T,AS2,0,0,0,0,0,0,0,1,ASIA
132,C,AM2,0,0,1,0,0,0,0,1,AMERICA
133,T,EU1,0,0,0,0,1,0,0,1,EUROPE
134,C,AM1,0,0,0,0,0,0,0,1,AMERICA
135,C,AF1,0,0,0,0,0,0,0,1,AFRICA
136,T,AF1,0,0,0,0,0,0,0,1,AFRICA
137,C,AM2,0,0,0,0,0,0,0,1,AMERICA
138,T,AS2,0,0,0,0,0,1,0,1,ASIA
139,C,EU2,0,0,0,0,0,0,0,1,EUROPE
140,C,AM1,0,0,0,0,0,0,0,2,AMERICA
141,T,AM2,0,0,0,0,0,0,0,2,AMERICA
142,T,EU1,0,0,0,0,0,0,0,2,EUROPE
143,T,AS1,0,0,0,0,0,0,0,2,ASIA
144,T,AM1,0,0,0,0,0,0,0,2,AMERICA
145,T,AS1,0,0,0,0,0,0,0,2,ASIA
146,C,AF1,0,0,0,0,0,0,0,2,AFRICA
147,C,AS2,0,0,0,0,0,0,0,2,ASIA
148,T,AM2,0,0,0,0,0,0,0,2,AMERICA
149,T,AS1,0,0,0,0,0,0,0,2,ASIA
150,C,AS2,0,0,0,0,0,0,0,2,ASIA
151,T,AS2,0,0,0,0,0,0,0,2,ASIA
152,C,AM1,0,0,0,0,0,0,0,2,AMERICA
153,C,AS1,0,0,0,0,0,0,0,2,ASIA
154,T,EU1,0,0,0,0,1,0,0,2,EUROPE
155,T,EU2,0,0,0,0,0,0,0,2,EUROPE
156,C,AM1,0,0,0,0,0,0,0,2,AMERICA
157,C,AF2,0,0,0,0,0,0,0,2,AFRICA
158,T,EU1,0,0,0,0,0,0,0,2,EUROPE
159,T,AF1,0,0,0,0,0,0,0,2,AFRICA
